Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.25,0.00,0.00%,,United States,,800,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$22.10,0.0999,0.454%,,United States,,541,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$23.00,0.00,0.00%,,United States,,60,,
PED,Pedevco Corp. Common Stock,$1.2301,0.0101,0.828%,103586971.00,United States,,701773,,
PHGE,BiomX Inc. COmmon Stock,$1.82,0.03,1.676%,52017837.00,,2019,55244,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$1.07,0.0079,0.744%,31759665.00,China,,8921,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$2.11,0.01,0.476%,168220961.00,Canada,,212599,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.04,0.02,0.662%,306667053.00,Canada,,57549,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$0.8804,-0.012,-1.345%,40108072.00,Israel,,146919,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.59,0.00,0.00%,,United States,,52,,
PRK,Park National Corporation Common Stock,$133.0101,-0.8399,-0.627%,2157366894.00,United States,,6633,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$0.6001,-0.0185,-2.991%,138830298.00,United States,,3725712,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$57.13,1.25,2.237%,189810597.00,United States,,7655,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$27.01,0.00,0.00%,,United States,,4,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.7305,0.0155,2.168%,29603623.00,United States,2015,5793,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.989,0.009,0.302%,17790396.00,United States,,123931,Finance,Investment Managers
RCOR,Renovacor Inc. Common Stock,$9.05,-0.02,-0.221%,156167180.00,,2020,14756,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$2.505,0.045,1.829%,249598606.00,United States,,690072,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$17.625,0.015,0.085%,342789154.00,United States,,12519,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$5.5268,0.2068,3.887%,9807887.00,,2017,33119,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.3893,-0.0107,-0.243%,,,,1002,,
RLGT,Radiant Logistics Inc. Common Stock,$7.56,-0.24,-3.077%,375923759.00,United States,,32537,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$2.00,0.15,8.108%,14059530.00,,2018,81954,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$7.62,-0.06,-0.781%,257283836.00,United States,,30107,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.46,0.00,0.00%,0.00,United States,2019,499,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.61,0.08,1.447%,165176453.00,United States,2017,89670,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$25.5117,-0.0383,-0.15%,,United States,,1537,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.39,0.01,0.725%,45340042.00,,2021,59815,Consumer Non-Durables,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.5066,0.0166,0.065%,0.00,United States,2019,1608,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$26.00,0.00,0.00%,0.00,United States,2020,50,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.78,-0.0344,-4.224%,21971887.00,,2014,49159,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3869.918,-9.192,-0.237%,4492119546.00,United States,1996,229,,
SENS,Senseonics Holdings Inc. Common Stock,$3.18,0.17,5.648%,1418224894.00,United States,,5038964,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$8.84,0.42,4.988%,52943900.00,United States,,597,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$7.945,-0.005,-0.063%,1153205341.00,,2018,153183,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$23.25,0.00,0.00%,3586540908.00,Mexico,1993,30,Basic Industries,Aluminum
SLI,Standard Lithium Ltd. Common Shares,$9.1251,-0.2749,-2.924%,1468361059.00,,2021,1006496,,
SMTS,Sierra Metals Inc. Common Stock,$1.3892,-0.0208,-1.475%,226995280.00,,,66987,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.752,0.0231,3.169%,85852245.00,United States,,867607,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.98,0.10,5.319%,13769219.00,United States,,13694,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$6.605,0.565,9.354%,492607756.00,United States,,154972,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.79,-0.01,-0.263%,669104947.00,,,344243,,
SVT,Servotronics Inc. Common Stock,$12.62,0.00,0.00%,31444838.00,United States,,42,Consumer Durables,Metal Fabrications
